lap,session_time_s,lap_time_s,lap_distance_m,latitude_deg,longitude_deg,x_east_m,y_north_m
3,649.6324999999999,0.0,0.0,59.99911032821245,-0.0019882980802924358,0.0,0.0
3,649.7325000000001,0.10000000000013642,3.865044539119207,59.99904383985068,-0.0019567020308379414,1.756711637280173,-7.3931787220222125
3,649.8325,0.20000000000004547,11.1702076586744,59.99897683464401,-0.0019249449852107323,3.522378082729581,-14.843828053484105
3,649.9325,0.3000000000000682,18.856142198451366,59.99890818051116,-0.0018930188479976606,5.2974495940942985,-22.477829864256798
3,650.0325,0.40000000000009095,26.539490043006253,59.99884169041306,-0.0018609348611990603,7.081300878308904,-29.871201657456062
3,650.1324999999999,0.5,34.22134932637588,59.99877468694271,-0.0018287196302465424,8.872452902058773,-37.32165791915555
3,650.2325000000001,0.6000000000001364,41.915644153592496,59.99870603280986,-0.0017963655321000815,10.671329748893958,-44.95565972992824
3,650.3325,0.7000000000000455,49.622223913819,59.99863954097543,-0.0017638781043210596,12.477622973116835,-52.34922459430456
3,650.4325,0.8000000000000682,57.33606948470288,59.99857253924141,-0.0017312999174014204,14.288966099655473,-59.799487784827
3,650.5325,0.900000000000091,65.05806026768677,59.998503885108555,-0.001698626173072895,16.105626245357527,-67.4334895955997
3,650.6324999999999,1.0,72.78935317981058,59.99843739153781,-0.001665819188821001,17.929697662468335,-74.82724752832377
3,650.7325000000001,1.1000000000001364,80.52852900787306,59.998370391540114,-0.0016328686989019547,19.761751763025032,-82.2773176490838
3,650.8325,1.2000000000000455,88.27496623804517,59.99830173740725,-0.0015997635460085929,21.60240933115066,-89.91131945985649
3,650.9325,1.3000000000000682,96.02955019728921,59.9982330832744,-0.0015664851156293332,23.452704907962413,-97.54532127204384
3,651.0325,1.400000000000091,103.793435691869,59.99816658738857,-0.0015330520888996323,25.31159902982141,-104.93933663111778
3,651.1324999999999,1.5,111.56520326313306,59.99809958970596,-0.0014994807491278948,27.17818728337836,-112.38914932552794
3,651.2325000000001,1.6000000000001364,119.34423532372311,59.9980309355731,-0.0014657356444307368,29.05444136414955,-120.02315113630064
3,651.3325,1.7000000000000455,127.13026152841972,59.997962281440245,-0.0014317972860250377,30.941444244854807,-127.65715294707333
3,651.4325,1.8000000000000682,134.9235526032666,59.99789362730739,-0.0013976740258931095,32.838731588240655,-135.29115475926068
3,651.5325,1.900000000000091,142.7261393632049,59.99782712852769,-0.001363402095959165,34.74428779530058,-142.6854919026866
3,651.6324999999999,2.0,150.53660796716045,59.99776013373894,-0.0013291205857737674,36.650380771067134,-150.13498281274477
3,651.7325000000001,2.1000000000001364,158.35088419115104,59.99769147960609,-0.0012949575110012235,38.549893537872045,-157.76898462351747
3,651.8325,2.2000000000000455,166.1741066355164,59.997622825473236,-0.0012608632463386926,40.445584384849155,-165.40298643429017
3,651.9325,2.300000000000068,174.0081362752533,59.99755417134038,-0.0012267259063290668,42.343674169890235,-173.0369882464775
3,652.0325,2.400000000000091,181.85031360133877,59.99748551720752,-0.0011924961004606779,44.246909032692926,-180.6709900572502
3,652.1324999999999,2.5,189.70178809532226,59.99741686307467,-0.0011581581336661258,46.15616164220257,-188.30499186943754
3,652.2325000000001,2.6000000000001364,197.5599950305146,59.997348208941816,-0.0011237205639816243,48.070956185906425,-195.93899368021025
3,652.3325,2.7000000000000455,205.3843704846314,59.99727955480896,-0.001089342137325481,49.98246631688348,-203.57299549098295
3,652.4325,2.800000000000068,213.06635466042889,59.99721305082029,-0.0010553976022664574,51.86985408217798,-210.96791184652537
3,652.5325,2.900000000000091,220.50789442657373,59.99714821080593,-0.0010221836361253957,53.71662415783159,-218.17780244582426
3,652.6324999999999,3.0,227.67824542056798,59.9970855197782,-0.0009897971881198946,55.51738543014574,-225.14873630448244
3,652.7325000000001,3.1000000000001364,234.57564042881108,59.9970266422902,-0.0009582596829080721,57.27094492419865,-231.69562330683965
3,652.8325,3.2000000000000455,241.20352070755337,59.99696943051282,-0.0009276156397863061,58.97482881526393,-238.05729148319088
3,652.9325,3.300000000000068,247.5737263733476,59.99691436598576,-0.0008978470914422481,60.63003540293262,-244.1801959872492
