candidate_number,start_distance_m,center_distance_m,end_distance_m,direction,peak_abs_curvature_rad_per_m,mean_abs_curvature_rad_per_m,estimated_heading_change_deg
1,718.378,770.378,814.378,right,0.03095949769538526,0.02311153653791123,-130.1918068406769
2,1254.378,1286.378,1388.378,left,0.009792525503497185,0.008235766344200224,64.12415267055513
3,1254.378,1338.378,1388.378,left,0.009792525503497185,0.008235766344200224,64.12415267055513
4,1482.378,1696.378,1882.378,right,0.00935051214678579,0.007033873546971164,-161.74981922133944
5,1482.378,1772.378,1882.378,right,0.00935051214678579,0.007033873546971164,-161.74981922133944
6,1982.378,1986.378,2002.378,left,0.1529462189460538,0.127356965466944,19.59705072077154
7,1952.378,2052.378,2102.378,left,0.1529462189460538,0.03201945433251222,128.37486156498102
8,2806.378,2838.378,2864.378,right,0.04446005287483226,0.03167298514018036,-110.38918204962643
9,2800.378,2916.378,2942.378,right,0.04446005287483226,0.024567323532321043,-27.392386653818225
10,2960.378,3000.378,3210.378,right,0.021676365121776717,0.011397384638350066,-161.31288180307033
11,3078.378,3170.378,3210.378,right,0.021676365121776717,0.014957049337182416,-111.07188463505841
12,3218.378,3236.378,3470.378,left,0.029099335756634776,0.013746887006370489,199.36197337385713
13,3218.378,3300.378,3470.378,left,0.029099335756634776,0.013746887006370489,199.36197337385713
14,3352.378,3396.378,3458.378,left,0.029099335756634776,0.02044717216687512,125.68316937732315
15,3542.378,3586.378,3760.378,right,0.0258390743283267,0.0142609583936522,-179.36337634861175
16,3602.378,3676.378,3746.378,right,0.0258390743283267,0.018054629541913923,-150.18800825042288
