candidate_number,start_distance_m,center_distance_m,end_distance_m,direction,peak_abs_curvature_rad_per_m,mean_abs_curvature_rad_per_m,estimated_heading_change_deg
1,308.0,376.0,522.0,left,0.019866502837656144,0.01464852192174928,46.380429768208515
2,306.0,466.0,522.0,left,0.019866502837656144,0.014567971510563814,47.045267723881615
3,540.0,634.0,666.0,left,0.008531789127465808,0.006957076835988828,50.65580278293763
4,1372.0,1460.0,1500.0,left,0.01615718209304874,0.012297461903641652,91.14089833851024
5,1992.0,2038.0,2244.0,right,0.011547579359356143,0.0089336897045945,-130.1812707240181
6,1992.0,2088.0,2244.0,right,0.011547579359356143,0.0089336897045945,-130.1812707240181
7,1992.0,2150.0,2244.0,right,0.011547579359356143,0.0089336897045945,-130.1812707240181
8,2324.0,2362.0,2394.0,right,0.041452718077633795,0.030582114912027662,-126.73973978011173
9,2310.0,2424.0,2568.0,left,0.041452718077633795,0.02107259303371338,42.541928169983336
10,2312.0,2496.0,2566.0,left,0.041452718077633795,0.02129717674370468,42.5252767926444
11,2728.0,2778.0,2806.0,right,0.04423985492688863,0.03202570831931363,-146.84230466539665
12,2854.0,2890.0,3072.0,left,0.0098708913019308,0.00802765443322241,100.86873008844606
13,2854.0,2982.0,3072.0,left,0.0098708913019308,0.00802765443322241,100.86873008844606
14,2854.0,3034.0,3072.0,left,0.0098708913019308,0.00802765443322241,100.86873008844606
15,3216.0,3276.0,3320.0,left,0.021024470994232065,0.015460858144547791,93.57462861494051
