lap,session_time_s,lap_time_s,lap_distance_m,latitude_deg,longitude_deg,x_east_m,y_north_m
7,847.7825000000001,57.700000000000045,2980.130757142674,59.993299590267654,-0.007113207668437973,-385.0551547205706,-753.6153793703234
7,847.8825,57.799999999999955,2983.7511151571334,59.99330340473582,-0.007178247896004116,-388.6715709849101,-753.1912292772456
7,847.9825000000001,57.89999999999998,2987.4543308356356,59.99330721920399,-0.007244249223591654,-392.3414269725352,-752.7670791827533
7,848.0825000000001,58.0,2991.156065607925,59.99331103367216,-0.007310862875853235,-396.0453296849335,-752.3429290882609
7,848.1825000000001,58.10000000000002,2994.884512056571,59.99331484814033,-0.007377927834283361,-399.77432598924514,-751.9187789937686
7,848.2825000000001,58.200000000000045,2998.6552570231484,59.993320674826364,-0.007445391886844436,-403.5255004590447,-751.270880173523
7,848.3825,58.299999999999955,3002.4636592735546,59.99333031575148,-0.0075131446640996835,-407.29270477324667,-750.1988567309393
7,848.4825000000001,58.39999999999998,3006.309034668616,59.99334175915598,-0.00758114847928232,-411.0738552716209,-748.9264064488768
7,848.5825000000001,58.5,3010.2376468120797,59.993353202560485,-0.007649425524161711,-414.8701968696054,-747.653956168229
7,848.6825000000001,58.60000000000002,3014.197231854246,59.993364645964995,-0.0077179611128516306,-418.6809129792306,-746.3815058847518
7,848.7825000000001,58.700000000000045,3018.1573432664445,59.99337810044188,-0.0077866401279657015,-422.49958987502305,-744.8854342476101
7,848.8825,58.799999999999955,3022.182278893429,59.993393358314556,-0.007855292422900315,-426.3167678757587,-743.1888338710552
7,848.9825000000001,58.89999999999998,3026.2812578003036,59.99340861618723,-0.007923775489920478,-430.12453453384984,-741.492233495915
7,849.0825000000001,59.0,3030.440432641942,59.993425884444996,-0.00799198146650742,-433.91687919231197,-739.5720881878169
7,849.1825000000001,59.10000000000002,3034.7039736859538,59.99344495678584,-0.008059820836514825,-437.6888255173475,-737.4513377181843
7,849.2825000000001,59.200000000000045,3039.020948896069,59.99346402912668,-0.008127308956795334,-441.44123914056587,-735.3305872471371
7,849.3825,59.299999999999955,3043.3396835285916,59.99348511116532,-0.008194495074504784,-445.17684484489763,-732.9863682694972
7,849.4825000000001,59.39999999999998,3047.690871863402,59.99350799797433,-0.00826124637933034,-448.8882590536106,-730.4414677053724
7,849.5825000000001,59.5,3052.100644113529,59.99353088478335,-0.008327481534722975,-452.57097128339,-727.8965671398327
7,849.6825000000001,59.60000000000002,3056.6006536256446,59.99355578060286,-0.00839317237309678,-456.2234015127802,-725.1282744912365
7,849.7825000000001,59.700000000000045,3061.1693942183642,59.99358248188005,-0.008458123889524008,-459.83470802454036,-722.1592238326192
7,849.8825,59.799999999999955,3065.75975954018,59.993609183157226,-0.008522106694712784,-463.3921485198297,-719.1901731740019
7,849.9825000000001,59.89999999999998,3070.3353425950872,59.99363789275762,-0.008584644152636276,-466.86920658461696,-715.997806855864
7,850.0825000000001,60.0,3074.9215245802775,59.99366640040885,-0.00864489166246492,-470.21893554651206,-712.8278962901206
7,850.1825000000001,60.10000000000002,3079.3754164583693,59.99369510955105,-0.008702097684690916,-473.3995450329179,-709.6355809191206
7,850.2825000000001,60.200000000000045,3083.6000281463344,59.99372361766047,-0.008755929092861279,-476.392515386305,-706.4656194048247
7,850.3825,60.299999999999955,3087.661740150975,59.99375232634448,-0.008806362315652393,-479.19653333813557,-703.2733549837917
7,850.4825000000001,60.39999999999998,3091.572449335287,59.993780834912094,-0.008853267108307089,-481.8043600661781,-700.1033425195287
7,850.5825000000001,60.5,3095.4407575127493,59.99380753618927,-0.008896566332862649,-484.2117185316213,-697.134291862326
7,850.6825000000001,60.60000000000002,3099.1902621789714,59.99383624418599,-0.008936433120247642,-486.4282076757778,-693.9421038634144
7,850.7825000000001,60.700000000000045,3102.7537621900265,59.993864753440896,-0.00897300766632085,-488.4616390848763,-690.77201497703
7,850.8825,60.799999999999955,3106.190887991841,59.993891454718074,-0.00900626116204103,-490.31042308071363,-687.8029643184127
7,850.9825000000001,60.89999999999998,3109.6229669292475,59.9939201620275,-0.009036048559342664,-491.9664666328047,-684.6108527430373
7,851.0825000000001,61.0,3112.9431036585556,59.9939486719697,-0.009062213465179011,-493.4210904188782,-681.4406874331169
7,851.1825000000001,61.10000000000002,3116.0670873284494,59.99397737882093,-0.00908468807911561,-494.6705218885334,-678.2486268077084
7,851.2825000000001,61.200000000000045,3119.2591946451676,59.99400588922132,-0.009103490813356712,-495.7157880094821,-675.0784105492355
7,851.3825,61.299999999999955,3122.4054502712042,59.99403459561436,-0.009118706196430551,-496.56158610634475,-671.886400870965
7,851.4825000000001,61.39999999999998,3125.499731509095,59.99406310647295,-0.009130488478659568,-497.21649607137635,-668.716133662525
7,851.5825000000001,61.5,3128.5523570720966,59.99408980775013,-0.009138964312405013,-497.68757247785544,-665.7470830053222
7,851.6825000000001,61.60000000000002,3131.4918847214954,59.99411650902731,-0.0091442713314657,-497.98245474032984,-662.7780323467049
7,851.7825000000001,61.700000000000045,3134.4508318801154,59.994143210304486,-0.00914657325869789,-498.1102464553772,-659.8089816880876
7,851.8825,61.799999999999955,3137.3534624707872,59.994169911581665,-0.00914600321767537,-498.0783498121111,-656.8399310294702
7,851.9825000000001,61.89999999999998,3140.2096920653776,59.99419661285884,-0.00914266157064066,-497.89234538061527,-653.8708803722676
7,852.0825000000001,62.0,3143.0198721099628,59.99422331413602,-0.009136870567691377,-497.5701512036665,-650.9018297136503
7,852.1825000000001,62.10000000000002,3145.7939527205904,59.99424801213012,-0.009128839564616228,-497.1234231620382,-648.155534277647
7,852.2825000000001,62.200000000000045,3148.5140467549786,59.99427089893913,-0.009118478775327437,-496.5471676009677,-645.6106337149366
7,852.3825,62.299999999999955,3151.1918679596424,59.99429578857303,-0.009105846431396836,-495.8445938337037,-642.8430288753354
7,852.4825000000001,62.39999999999998,3153.8054927234634,59.99431848465863,-0.009091155909643473,-495.02759769214816,-640.3193358162888
7,852.5825000000001,62.5,3156.296003221057,59.99433955936616,-0.009074585199984515,-494.10607157688577,-637.9759320211472
7,852.6825000000001,62.60000000000002,3158.797215585045,59.994362446175174,-0.00905625942660906,-493.08694711536424,-635.4310314570222
7,852.7825000000001,62.700000000000045,3161.3121927531824,59.99438333107569,-0.009036317141858034,-491.9779566651849,-633.1087332684392
7,852.8825,62.799999999999955,3163.6731935881053,59.99440240341653,-0.009014963833771239,-490.7905243891979,-630.9879827988067
7,852.9825000000001,62.89999999999998,3165.9805571448596,59.99441947430707,-0.008992399515197723,-489.53577280258435,-629.089783754749
7,853.0825000000001,63.0,3168.192400069935,59.994436733400946,-0.008968799416177476,-488.22342885423524,-627.1706574276028
7,853.1825000000001,63.10000000000002,3170.343588473656,59.99445380474968,-0.008944369780838117,-486.8649629806925,-625.2724074349926
7,853.2825000000001,63.200000000000045,3172.403561051492,59.99446906262236,-0.008919324240530949,-485.4722654906961,-623.5758070584377
7,853.3825,63.299999999999955,3174.3968897853824,59.994482319961115,-0.008893873633310768,-484.0570607030371,-622.1016562117675
7,853.4825000000001,63.39999999999998,3176.4236615585164,59.994495763670436,-0.008868223073801728,-482.6307373556595,-620.6067818748039
7,853.5825000000001,63.5,3178.239734635227,59.994509021467394,-0.008842568808438736,-481.20420988667837,-619.1325800781665
7,853.6825000000001,63.60000000000002,3179.9780311559293,59.99451846502527,-0.008817105096325266,-479.78830580391184,-618.0825029024526
7,853.7825000000001,63.700000000000045,3181.742815409573,59.994528093579135,-0.008792031340246866,-478.39408315200274,-617.0118550835175
7,853.8825,63.799999999999955,3183.275009627214,59.994537537595214,-0.008767562780352962,-477.03351239423586,-615.9617269578364
7,853.9825000000001,63.89999999999998,3184.716909165613,59.99454516653155,-0.008743919297269389,-475.71883104324644,-615.1134267688517
7,854.0825000000001,64.0,3186.176385656034,59.99455079653765,-0.008721337550404218,-474.4631990426187,-614.4873977891106
7,854.1825000000001,64.10000000000002,3187.387128474742,59.99455660970696,-0.008700032528786466,-473.2785544864234,-613.8410019617728
7,854.2825000000001,64.20000000000005,3188.4946624827353,59.994562240171255,-0.008680190466741785,-472.1752549859784,-613.2149220320645
7,854.3825,64.29999999999995,3189.608940499773,59.99456605463943,-0.008661993246909888,-471.16342518770796,-612.7907719375721
7,854.4825000000001,64.39999999999998,3190.600767507102,59.99456986910759,-0.008645591315402866,-470.25141719681426,-612.3666218444944
7,854.5825000000001,64.5,3191.4682720299575,59.994571685791016,-0.008631124655719963,-469.44702853764306,-612.1646155857425
7,854.6825000000001,64.60000000000002,3192.209176413427,59.994573683346665,-0.008618703370509571,-468.7563656253593,-611.9424972249856
7,854.7825000000001,64.70000000000005,3192.7082239226265,59.99457550048828,-0.008608323311649974,-468.17920036769976,-611.7404400162665
7,854.8825,64.79999999999995,3193.0955570782926,59.99457749758574,-0.00859984726585261,-467.7079008655403,-611.5183726054768
7,854.9825000000001,64.89999999999998,3193.474752602896,59.99457931518555,-0.008593053632836382,-467.33014822637995,-611.3162644482052
7,855.0825000000001,65.0,3193.7604104181173,59.99457931518555,-0.008587558323951581,-467.0245978933308,-611.3162644482052
7,855.1825000000001,65.10000000000002,3193.9775904829057,59.994577318775384,-0.008582922052864424,-466.7668258897485,-611.5382554368736
7,855.2825000000001,65.20000000000005,3194.135047792093,59.99457550048828,-0.008579064540908544,-466.55235320633284,-611.7404400162665
7,855.3825,65.29999999999995,3194.227480530918,59.99457550048828,-0.008576142077013344,-466.38985826988716,-611.7404400162665
7,855.4825000000001,65.39999999999998,3194.2507277006403,59.994573504765405,-0.00857426579328235,-466.2855471424981,-611.9623545828134
7,855.5825000000001,65.5,3194.204865467827,59.994571685791016,-0.008573530981854444,-466.24470294882394,-612.1646155857425
7,855.6825000000001,65.60000000000002,3194.090851051844,59.99456969052634,-0.008574011803421598,-466.27145166791234,-612.3864792009076
7,855.7825000000001,65.70000000000005,3193.9076254555257,59.99456587605817,-0.008575744558533816,-466.3678232706319,-612.8106292954
7,855.8825,65.79999999999995,3193.6608172925226,59.994564056396484,-0.008578739189790888,-466.53434371365256,-613.012966721865
7,855.9825000000001,65.89999999999998,3193.355666528685,59.994562061819096,-0.008582977508730296,-466.77001697825074,-613.2347539149088
7,856.0825000000001,66.0,3192.9988103551223,59.99456024169922,-0.008588405270258653,-467.0718244680836,-613.4371422913409
7,856.1825000000001,66.10000000000002,3192.5998788299476,59.99456024169922,-0.008594936042484104,-467.4349487702135,-613.4371422913409
7,856.2825000000001,66.20000000000005,3192.201692387475,59.994558247809124,-0.008602427968425487,-467.85152928453806,-613.658853059434
7,856.3825,66.29999999999995,3191.793922424775,59.99455642700195,-0.008610679347571572,-468.3103357540157,-613.8613178594022
7,856.4825000000001,66.39999999999998,3191.369368736153,59.99455642700195,-0.008619438962145981,-468.7973882805525,-613.8613178594022
