candidate_number,start_distance_m,center_distance_m,end_distance_m,direction,peak_abs_curvature_rad_per_m,mean_abs_curvature_rad_per_m,estimated_heading_change_deg
1,650.0,694.0,808.0,left,0.014910870500950092,0.010429592608348165,6.064409790429804
2,642.0,756.0,812.0,left,0.014910870500950092,0.009980954322975173,6.752193455777055
3,826.0,858.0,960.0,left,0.007640970790454017,0.005663080565694331,43.888391162561575
4,826.0,930.0,960.0,left,0.007640970790454017,0.005663080565694331,43.888391162561575
5,1268.0,1312.0,1470.0,right,0.014856921545896264,0.0082561785035761,-30.48150357220026
6,1374.0,1418.0,1462.0,right,0.014856921545896264,0.011706719601867081,-60.56359355872343
7,1662.0,1716.0,1754.0,left,0.034898961673846284,0.024666510463209564,132.21642776846826
8,2060.0,2074.0,2104.0,right,0.0035248094047613224,0.002972396754901831,-7.795863482872906
9,2260.0,2316.0,2538.0,left,0.011592768756566032,0.006630251690051842,106.04876778480852
10,2256.0,2364.0,2552.0,left,0.011592768756566032,0.006418261002241265,109.44712922238517
11,2254.0,2452.0,2558.0,left,0.011592768756566032,0.006317194403474403,110.71235766062816
12,2254.0,2508.0,2558.0,left,0.011592768756566032,0.006317194403474403,110.71235766062816
13,2668.0,2708.0,2946.0,right,0.023185647082523946,0.00837957803607822,-101.64877622999342
14,2800.0,2844.0,2876.0,right,0.023185647082523946,0.016262405044039474,-73.35251104874669
15,2668.0,2908.0,2946.0,right,0.023185647082523946,0.00837957803607822,-101.64877622999342
16,3314.0,3378.0,3420.0,left,0.0218520509358716,0.015652452208451618,21.05163232166764
17,3904.0,3918.0,3934.0,right,0.003424651905598116,0.002956243943449424,-5.277835254598496
18,3938.0,3976.0,3984.0,right,0.003649850761952875,0.00309091631762766,-8.511102229909406
19,4090.0,4124.0,4176.0,left,0.02111834488547595,0.016631192468302504,83.92980094874348
20,4210.0,4242.0,4314.0,left,0.01750137730251882,0.013035457022704113,79.29396490078477
21,4204.0,4292.0,4322.0,left,0.01750137730251882,0.012040815904624,82.52985775727842
