lap,session_time_s,lap_time_s,lap_distance_m,latitude_deg,longitude_deg,x_east_m,y_north_m
2,271.795,0.0,0.0,60.00007498888505,3.4629441075023832e-06,0.0,0.0
2,271.89500000000004,0.10000000000002274,6.502110140735048,60.00007880296961,-0.0001282547954303661,-7.323165284840705,0.42410743860725153
2,271.995,0.19999999999998863,13.88877188305389,60.00008512546577,-0.00026011574888531346,-14.654291492238036,1.1271379060468585
2,272.095,0.30000000000001137,21.310435691525498,60.000092753634895,-0.0003920904558361599,-21.991740263067555,1.9753527832613618
2,272.195,0.39999999999997726,28.79900593976455,60.00010038180402,-0.0005241681763230585,-29.334914625900755,2.823567661890513
2,272.295,0.5,36.32273599904835,60.00010800997314,-0.0006563690762669238,-36.68493575125234,3.671782539105016
2,272.39500000000004,0.6000000000000227,43.87873801732132,60.00011814410304,-0.0007886528928274053,-44.039563460202864,4.798647925921084
2,272.495,0.6999999999999886,51.4304488795096,60.00012708100865,-0.0009210388378701647,-51.399867921101254,5.7923878630099574
2,272.595,0.8000000000000114,58.97593768984336,60.00013721391314,-0.0010535474066530946,-58.76698688771481,6.919116990917954
2,272.695,0.8999999999999773,66.46477704977663,60.00014865616683,-0.0011861654343812997,-66.14018791631378,8.191439308154356
2,272.795,1.0,73.94725797599882,60.00015759491055,-0.0013189019131289589,-73.51997473846636,9.185383632190689
2,272.89500000000004,1.1000000000000227,81.44718285844861,60.00016772597693,-0.0014517928106306005,-80.90834337984897,10.311908371736578
2,272.995,1.1999999999999886,88.96791449919613,60.000179168230616,-0.0015848476125284556,-88.30582065475113,11.584230688972982
2,273.095,1.3000000000000114,96.49675446708623,60.000190610484296,-0.0017180854325132648,-95.7134706854352,12.856553004794735
2,273.195,1.3999999999999773,104.0217273171733,60.00020205273798,-0.0018514870368515305,-103.1302241228295,14.12887532061649
2,273.295,1.5,111.55351452777117,60.000215995438104,-0.001985033882934927,-110.55504586492651,15.67923497953884
2,273.39500000000004,1.6000000000000227,119.0797717336154,60.000228751942615,-0.0021187001234952967,-117.98650460158525,17.097695521735936
2,273.495,1.6999999999999886,126.62682747894254,60.0002401941963,-0.002252560026665112,-125.4287300772643,18.370017838972338
2,273.595,1.8000000000000114,134.20670818815518,60.00025163644998,-0.0023866280199977535,-132.88252222271737,19.64234015479409
2,273.695,1.8999999999999773,141.80201588602208,60.00026307870367,-0.002520946423098906,-140.35023388589352,20.914662472030496
2,273.795,2.0,149.41085405653175,60.000274520957355,-0.0026555419600351486,-147.83335084408347,22.186984789266898
2,273.89500000000004,2.1000000000000227,157.01540109822784,60.000285963211034,-0.002790418782042928,-155.33210388656823,23.45930710508865
2,273.995,2.1999999999999886,164.61851935749388,60.00029740546472,-0.0029255712756074597,-162.84618090937678,24.73162942091041
2,274.095,2.3000000000000114,172.2251886649026,60.0003088477184,-0.0030609622536812825,-170.37351440818856,26.003951736732162
2,274.195,2.3999999999999773,179.83725088813515,60.00031779503998,-0.003196598185747446,-177.91447077068372,26.998849878783588
2,274.295,2.5,187.45631464570272,60.0003279175285,-0.0033325218417781786,-185.47141844653538,28.12442080172903
2,274.39500000000004,2.6000000000000227,195.08315797408653,60.00033686607549,-0.003468749244193977,-193.04525468175964,29.119455202688528
2,274.495,2.6999999999999886,202.72046634172807,60.000344494244615,-0.0036052134397870036,-200.6322579067139,29.96767007990303
2,274.595,2.8000000000000114,210.36563542185777,60.00035212241374,-0.00374186558184034,-208.22970867549634,30.815884957117532
2,274.695,2.8999999999999773,218.01206170267804,60.00035975058287,-0.003878711807157668,-215.83794817343946,31.664099835746686
2,274.795,3.0,225.66114000319843,60.00036737875199,-0.004015781941658822,-223.45863463349735,32.512314712961185
2,274.89500000000004,3.1000000000000227,233.32557116250536,60.00037500692111,-0.004153118189917965,-231.09411450590915,33.360529590175695
2,274.995,3.1999999999999886,241.01332296683327,60.00038263509023,-0.00429067179504417,-238.74167704110806,34.208744468804845
2,275.095,3.3000000000000114,248.7156805203283,60.000390263259355,-0.004428417462789185,-246.3999159468216,35.05695934601935
2,275.195,3.3999999999999773,256.4190057692616,60.00039540262342,-0.004566328749635011,-254.0673705929785,35.62843134541853
2,275.295,3.5,264.1348273267811,60.000401704900334,-0.00470446128901691,-261.747120455333,36.329213532387065
2,275.39500000000004,3.6000000000000227,271.8670862910476,60.000406845489806,-0.004842812893538276,-269.439052979602,36.900821792108964
2,275.495,3.6999999999999886,279.62405222970057,60.00041314654131,-0.004981346695779295,-277.1411091177886,37.60146771875478
2,275.595,3.8000000000000114,287.3793902864364,60.000418288356194,-0.005120072506489063,-284.85384389884297,38.17321223738475
2,275.695,3.8999999999999773,295.1457260381825,60.00042210244076,-0.005258987442920293,-292.5770981983902,38.59731967740665
2,275.795,4.0,302.9176266747141,60.000425916525316,-0.005398084859938479,-300.3104970023776,39.021427114599256
2,275.89500000000004,4.100000000000023,310.69966085785364,60.00042973060988,-0.005537382348111856,-308.0550182939127,39.445534554621155
